Grade,Tensile Strength (MPa),Yield Strength (MPa),Elongation in 50 mm (%),Reduction in Area (%),HV (GPa),"Carbon, C","Chromium, Cr","Iron, Fe","Manganese, Mn","Nickel, Ni","Nitrogen, N","Phosphorus, P","Silicon, Si","Sulfur, S","Molybdenum, Mo","Boron, B","Titanium, Ti",Nb,Ta,"Lead, Pb","Vanadium, V"
4320,580,425,29,58,15.78491335,0.195,0.5,96.4175,0.55,1.825,,0.035,0.225,0.04,0.25,,,,,,
4340,1282,862,12.2,36.3,35.1529052,0.4,0.8,95.7625,0.7,1.825,,0.035,0.225,0.04,0.25,,,,,,
4340,745,470,22,50,21.01427115,0.4,0.8,95.7625,0.7,1.825,,0.035,0.225,0.04,0.25,,,,,,
414,795,620,20,60,22.75739042,0.15,12.5,83,1,1.88,,0.04,1,0.03,,,,,,,
414,895,795,15,58,26.14678899,0.15,12.5,83,1,1.88,,0.04,1,0.03,,,,,,,
420,655,345,25,55,18.88379205,0.195,0.5,96.4175,0.55,1.825,,0.035,0.225,0.04,0.25,,,,,,
420,760,690,14,40,22.0795107,0.195,0.5,96.4175,0.55,1.825,,0.035,0.225,0.04,0.25,,,,,,
431,860,655,20,55,25.1783894,0.2,16,82,1,1.875,,0.04,1,0.03,,,,,,,
431,895,760,15,35,26.14678899,0.2,16,82,1,1.875,,0.04,1,0.03,,,,,,,
440C,860,690,7,20,25.1783894,1.1,17,79.15,1,,,,1,,0.75,,,,,,
440C,1970,1900,2,10,56.16717635,1.1,17,79.15,1,,,,1,,0.75,,,,,,
4140,1020.4,655,17.7,46.8,29.2336,0.405,0.95,97.2775,0.875,,,0.035,0.225,0.04,0.2,,,,,,
4140,655,417.1,25.7,56.9,19.0696,0.405,0.95,97.2775,0.875,,,0.035,0.225,0.04,0.2,,,,,,
4150,1154.9,734.3,11.7,30.8,31.0728,0.505,0.95,97.2075,0.875,,,0.035,0.225,0.04,0.2,,,,,,
4150,729.5,379.2,20.2,40.2,19.0696,0.505,0.95,97.2075,0.875,,,0.035,0.225,0.04,0.2,,,,,,
