Grade,Tensile Strength (MPa),Yield Strength (MPa),Elongation in 50 mm (%),Reduction in Area (%),HV (GPa),"Carbon, C","Chromium, Cr","Iron, Fe","Manganese, Mn","Nickel, Ni","Nitrogen, N","Phosphorus, P","Silicon, Si","Sulfur, S","Molybdenum, Mo","Boron, B","Titanium, Ti",Nb,Ta,"Lead, Pb","Vanadium, V"
1151,705.0,595.0,10.0,30.0,20.04587156,0.515,,98.51,0.85,,,0.04,,0.105,,,,,,,
8620,635.0,360.0,26.3,59.7,17.72171254,0.205,0.5,97.4575,0.8,0.55,,0.035,0.25,0.04,0.2,,,,,,
8620,540.0,385.0,31.3,62.1,14.42915392,0.205,0.5,97.4575,0.8,0.55,,0.035,0.25,0.04,0.2,,,,,,
4620,570.0,365.0,29.0,66.7,16.85015291,0.195,,96.8925,0.55,1.825,,0.035,0.25,0.04,0.25,,,,,,
4620,510.0,370.0,31.3,60.3,14.42915392,0.195,,96.8925,0.55,1.825,,0.035,0.25,0.04,0.25,,,,,,
4820,758.0,485.0,24.0,59.2,22.17635066,0.205,,95.1825,0.6,3.5,,0.035,0.225,0.04,0.25,,,,,,
4820,685.0,460.0,22.3,58.8,19.07747197,0.205,,95.1825,0.6,3.5,,0.035,0.225,0.04,0.25,,,,,,
5140,793.0,470.0,22.7,59.2,22.17635066,0.405,0.8,97.7325,0.8,,,0.035,0.225,0.04,,,,,,,
5140,570.0,290.0,28.6,57.3,16.17227319,0.405,0.8,97.7325,0.8,,,0.035,0.225,0.04,,,,,,,
5140,972.0,841.0,18.5,58.9,28.37410805,0.405,0.8,97.7325,0.8,,,0.035,0.225,0.04,,,,,,,
5150,869.0,530.0,20.7,58.7,24.6941896,0.505,0.8,97.6325,0.8,,,0.035,0.225,0.04,,,,,,,
5150,675.0,360.0,22.0,43.7,19.07747197,0.505,0.8,97.6325,0.8,,,0.035,0.225,0.04,,,,,,,
5150,1055.0,1000.0,16.4,52.9,30.11722732,0.505,0.8,97.6325,0.8,,,0.035,0.225,0.04,,,,,,,
5160,1025.0,650.0,18.2,50.7,27.59938838,0.6,0.8,97.4625,0.875,,,0.035,0.225,0.04,,,,,,,
