Grade,Density,"Hardness, Rockwell B","Hardness, Rockwell C",,"Tensile Strength, Ultimate","Tensile Strength, Yield",Elongation at Break,Modulus of Elasticity,Izod Impact,Electrical Resistivity,Magnetic Permeability,"CTE, linear",Specific Heat Capacity ,Thermal Conductivity,Melting Point,Solidus,Liquidus,"Carbon, C","Chromium, Cr","Iron, Fe","Manganese, Mn","Nickel, Ni","Nitrogen, N","Phosphorus, P","Silicon, Si","Sulfur, S","Tensile Strength, Yield",Tensile Strength,Reduction of Area,Thermal Conductivity,Charpy Impact,"Aluminum, Al","Copper, Cu","Molybdenum, Mo","Vanadium, V","Hardness, Brinell","Hardness, Knoop","Hardness, Vickers",Bulk Modulus ,Poissons Ratio,Machinability,Shear Modulus,  ,Impact Test,Electrical Resistivity,Tensile Modulus,Fatigue Strength,"Selenium, Se","Boron, B",Charpy Impact,"Maximum Service Temperature, Air",Rupture Strength,Creep Strength,"Niobium, Nb (Columbium, Cb)","CTE, linear",Transformation Temperature,Izod Impact  ,"Titanium, Ti",Curie Temperature,Volume Resistivity,Heat of Fusion,Nb + Ta,"Tensile Strength, Ultimate",Elongation at Break,"Cobalt, Co","Tantalum, Ta",Specific Heat Capacity,Particle Size,"Hardness, Rockwell A",Elongation at Yield,Notched Tensile Strength,Izod Impact Unnotched,Annealing Temperature ,Hot-Working Temperature,"Potassium, K","Tungsten, W",Fatigue Strength,Corrosion Rate mils per year,"Crevice Corrosion-Average Weight Loss, g/cm2 ",Reduction of Area ,"Hardness, Brinell ","Hardness, Knoop ","Hardness, Rockwell C  ","Hardness, Vickers",Deep-Drawing Capability rm,Strain Hardening Exponent n,Creep Strength,"Zirconium, Zr"
334,8.03,82,,19.22,572.4,,40,200,,0.0001,,17.04,,,,,,0.03,19,60,1,19,,0.02,0.75,0.015,241.4,,,12.9,,0.4,0.2,,,,,,,,,,62.8,,,,,,,,1038,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,7.86,90,,,759,,50,,,,,,,,,,,0.03,22,57,5,12,0.3,0.02,0.5,0.015,379,,75,,,,,2.3,0.2,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,,,,,420,,23,,,,,,,,,,,0.08,,99.18,0.7,,,,0.04,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,7.8,,43,815,1470,,18,200,,,,9.9,0.46,24.9,1480,1480,1530,0.15,11.5,84.3,1,,,0.04,1,0.03,961,,43,,,,,,,400,438,422,,,,,,,0.0001,,,,,,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,7.8,,,1460,630,,25,190,,,,,0.47,,1420,,,0.25,0.7,96.9,1.3,0.25,,0.05,0.6,0.06,390,,39,47,,,,0.15,,190,,,,0.29,,73,,,,,280,,,,420,,,,13,,,,,0,250,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,7.87,71,,0,440,,15,200,,,,,0.486,,,,,0.14,,98.81,0.6,,,0.04,,0.05,370,,40,51.9,,,,,,126,145,131,159,0.29,70,78,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,8,,,925,895,,15,195,120,0.0001,,17.3,0.5,16.3,1400,1400,1425,0.08,17,68,2,11,,0.045,1,0.03,690,,,,,,,,,,,,,0.27,,77,,,,,,,,160,870,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
347H,,,,,,,,,,,,,,,,,,0.04,17,64,2,9,,0.04,0.75,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,8,,,21.5,,585,,195,120,0.0001,,17.3,0.5,16.3,1400,1400,1425,0.08,19,66,2,11,,0.045,1,0.03,,,,,,,,,,,,,,0.27,,77,,,,,,,,160,,,,,,,,,,,,0.8,795,15,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,
348H,8,,,21.5,,,,195,,0.0001,,17.3,0.5,16.3,1400,1400,1425,0.04,18,70,,11,,,,,,,,,,,,,,,,,,0.27,,77,,,,,,,,,,,,,,,,,,,,1,,,,0.1,,,,,,,,,,,,,,,,,,,,,,
350,7.87,95,17,14.2,733,,15,200,,,,11.9,0.486,,,,,0.13,,99.13,0.3,,,0.04,,0.05,415,,32.9,51.9,,,,,,217,240,228,160,0.29,60,80,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,,,,,485,,35,,,,,,,,,,,0.03,17,62.9,1.5,8,,0.04,2,0.04,205,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,,,37,,,,,,,,,,,,,,,,15.5,76.5,0.95,4.3,,,,,1070,1170,25,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,7.8,,,785,,,,210,,0,,,0.46,,,,,0.32,1.35,94.87,0.7,1.3,,0.025,0.2,0.02,,,,40,,,,0.2,0.1,200,,,,0.3,,80,,,,,,,,,,,,,12,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,7.8,,,25,415,,21,,,,,,,,,,,0.36,,98,0.9,,,0.04,0.15,0.05,205,,,,,,,,,,,,160,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,8.05,80,,,586,,40,,,,,,,,,,,0.03,20,40,1,35,,0.02,0.5,0.015,310,,65,,,,3.5,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
