Grade,Tensile Strength (MPa),Yield Strength (MPa),Elongation in 50 mm (%),Reduction in Area (%),HV (GPa),"Carbon, C","Chromium, Cr","Iron, Fe","Manganese, Mn","Nickel, Ni","Nitrogen, N","Phosphorus, P","Silicon, Si","Sulfur, S","Molybdenum, Mo","Boron, B","Titanium, Ti",Nb,Ta,"Lead, Pb","Vanadium, V",YS/TS ratio
1050,690.0,580.0,10.0,30.0,19.07747197,0.51,0.0,98.69,0.75,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8405797101449275
1050,655.0,550.0,10.0,40.0,18.30275229,0.51,0.0,98.69,0.75,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8396946564885496
1552,745.0,410.0,12.0,30.0,21.01427115,0.51,0.0,98.095,1.35,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5503355704697986
1552,675.0,570.0,10.0,40.0,18.69011213,0.51,0.0,98.095,1.35,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8444444444444444
1055,650.0,355.0,12.0,30.0,18.59327217,0.55,0.0,98.655,0.75,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5461538461538461
1055,660.0,560.0,10.0,40.0,19.07747197,0.55,0.0,98.655,0.75,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8484848484848485
1060,675.0,370.0,12.0,30.0,19.4648318,0.605,0.0,98.6,0.75,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5481481481481482
1060,620.0,485.0,10.0,45.0,17.72171254,0.605,0.0,98.6,0.75,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782258064516129
1064,670.0,370.0,12.0,30.0,19.4648318,0.65,0.0,98.655,0.65,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5522388059701493
1064,615.0,475.0,10.0,45.0,17.72171254,0.65,0.0,98.655,0.65,0.0,0.0,0.04,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7723577235772358
